,hash,time,total_value,direction,gini_coefficient
88,81f9de9008da8c0b422811196f83a9f212c74b1a74734331113def22794b4f59,2022-12-14 07:25:48,4187023,inbound,0.0000
89,265e6d953d9a1bf02ac455cc226e3318238ae819370ec0b6924d4dc88385f0c9,2022-12-14 03:51:57,23617119,inbound,402862.9655
90,c35a51b1fb4125a98482d509a5b0bbd6f6cf8c34b767dac6869a8e626be450d1,2022-12-13 17:33:09,606513756,inbound,16472.9384
91,07765b438cf2c8cc0fdcfa72221b5c9c3fee1e84ceca7ccf4d317c8469f6e1ff,2022-12-12 22:04:48,12220645703,inbound,1054.2787
92,8d9ed563291554f5901978705aa80b315abbd0552c2486cc878ae46352ce36fc,2022-12-12 07:56:46,1262621238,inbound,23007.2543
93,c303642b530dc1e498d06c555b7c0fe6c0140d5450201790319e2debb6bdd83e,2022-12-11 23:56:06,2923408,inbound,10903788.5439
94,ec9c6e9666a478be813c7f5c87782e75da023093ee8ef143db7b41d6934746f6,2022-12-11 21:46:54,2917895,inbound,10598288.9520
95,b31a3046ae26c6744722412924b21b177fed4e83fb3727e181a3c8d75ca7b9e3,2022-12-11 18:06:38,16800514,inbound,863696.0617
96,9749b076e324faba155614af9bebd9d1f00768364c0f6ce14be1afd4a7d174b1,2022-12-11 12:36:49,225179557,inbound,128265.4559
97,204c9c246bc396ca7cb3a423a795938bd9f51f8150495f9479b032498097b38f,2022-12-11 12:24:09,483902066,inbound,20730.6863
98,1e274480b73566c2701602b8cc930beacdef88c27676a436c526c3afff2fb9b3,2022-12-10 23:13:47,29386413,inbound,453273.3776
99,8d1d99b42f05ca28db0a2f61e51da65b741c086f8a4cbeccf5e335cd2ef7d99a,2022-12-10 21:16:31,13174065,inbound,72226.5636
100,73a91810f4241233bb710a49df89cd1743cbd4c92f20953dbfd4550e6ee6e62b,2022-12-09 18:20:37,9197640213,inbound,241.3889
101,eba90e7926cc4e752d20b9c2165ef3755ded9d5357aaef4f5b03d016b86ed310,2022-12-09 12:53:49,12201072,inbound,779858.3012
102,13d8bd45d5f5f503d0c9c1831812b1e1ee266d722579d52b5e9d0d71cb16df96,2022-12-09 11:12:04,126840218,inbound,201477.9631
103,041e556f8ae1ea4826a67ec717a997b1c4ff8ff0183af0692048045670076fe2,2022-12-09 08:31:06,31473098,outbound,619775.1306
104,ffa337de1fc3648db328c6d3a084ce290d1ba652a68fda6999eb957be54571af,2022-12-09 04:23:11,54192547,inbound,1457822.0640
