,hash,time,total_value,direction,gini_coefficient
58,26a8e9cc5be6fa8b95f6efeaa284214cb64e8960b5b5ed61b28926ad75ef2f6c,2023-03-17 22:04:57,154228728,inbound,104526.7613
59,14d74f350a7e02f496360af7998bc4cc96c0f36a9a88fca2c3f1c7be4edc4bbb,2023-03-17 13:56:12,171119700,inbound,2337.5740
60,82cd76b4b09e4c1236599ddea5518ea958e01c11d38008407c578bd3856f8537,2023-03-17 14:22:10,288973025,inbound,80923.9500
61,2f190d8a817703f1a9ccecfe0a1a66dbeef917475d0a79af4f15ab9f51f53b69,2023-03-17 14:17:08,569927614,inbound,42331.2141
62,8f9391429c028357008fafffdd19af5255f13c9bd4cb72e8932995176ea58e6f,2023-03-15 14:54:59,393328728,inbound,21244.4309
63,7cc834feec3fe4d111da55ec7590dc27f485dfddfc71f1b26d13c87aec8ec15b,2023-03-14 16:03:15,66628661,outbound,0.0000
64,5fb7e4e978d761799bc3dbcee2ccfccf6c729fbe0f1eefb08b6576c1eca63c90,2023-03-13 08:18:06,9327723,inbound,0.0000
65,e8abb28c326b11c6d4dc2e8c894fec787befc688318092b73c02417860bd575d,2023-03-12 20:07:50,11964644,inbound,89159.2872
66,009a998e2f7d426bfd7d0dc3f3f981bacb06828bfa230067e3a8cbff0511c1d6,2023-03-12 11:23:32,26976122,inbound,19771.1019
67,da5376c7ac7b418dddab37385b8b44588e378eb911c77a92c20344ba9eee19b3,2023-03-12 00:38:09,6341833,inbound,105136.7900
68,227122c8f67a0a05d749b727507bfe3c46aadb27e361bb949b12cbcc66d8308c,2023-03-11 20:00:25,14363694,inbound,37133.2033
69,8a9de30f3c5dac712d73e53afacaad2b097d488b05e00257d573a23c1f59345f,2023-03-09 20:41:52,30417647,outbound,4384.1800
70,60cb9f8e8135edf598f43ab4f8284256c523b20999120510307c02d94a735cb6,2023-03-09 03:30:42,25959847,inbound,10272.1556
71,c57b9a46bde8d854662804c76366f66dee970ede4a5a31f9d4ba08ddbdbf5a1e,2023-03-08 09:08:09,1336110,inbound,199617.5762
72,a610dcbc7e1762160a830d5aa96a0f863b0ba3d213916b12bf3fe4d22a0ad1fd,2023-03-07 13:39:01,99033365,outbound,0.0000
73,430beced73d019a79179be016a7812d7f5a16e659bc47418ced8262818edd080,2023-03-06 15:44:09,4466372,inbound,59713.9645
74,bfc17d887a5f15a88312da687306a40e83152d749f4772e6e452385b8b200205,2023-03-06 15:12:26,114062456,outbound,2338.0663
75,9a956fe2c3c569a4d9be1f6af299f44b941609b60e43b2d013d41dec88f063f2,2023-03-06 11:54:02,1495864297,inbound,6683.9508
76,735a3251c3d42dd70ba2df0e88102d4ffe2bcaa45ce3797b2d9acfffed9f177c,2023-03-06 03:28:43,29327885,inbound,18185.0827
77,f94440773b5c9d718fd2d5fa9d2d2a16439b8d41ff8ec0429b71a470136f5d58,2023-03-05 03:37:18,8334904549,inbound,3241.7945
78,ea93b02677c8964a131e91c58a250440c4ddde04a144529f91da90a92b0a7048,2023-03-05 02:21:37,404461674,inbound,7912.9239
79,cd9188f28dd911d6de6e14b2c81a6a007a1eb6be153e5d66e8ced129ea67874e,2023-03-04 04:27:41,25100701,inbound,5311.9019
80,e85bd893e4e3e787d1dce90c2c2e024c077aa29bd991da01f28cf539a8c458ba,2023-03-03 20:34:48,12018032,inbound,33287.9683
81,9e04cb5a5ab7ec5f78477e21144bc16baec4eca9f6cf60093284ef6b13474a7e,2023-03-03 11:07:44,446813157,inbound,2387.5462
82,1f681500066bb89a9e5b9bdf92df62aa15ebda1626653bb3df46d8538570081b,2023-03-02 11:35:35,34378557,inbound,19391.9608
